run_ts,customer_id,churn_proba,churn_label,threshold,model_version,segment,contract_type,tenure_months,monthly_charges,total_charges,payment_method,internet_service,phone_service,online_security,tech_support,paperless_billing,region
2026-03-16T18:47:31.368690+00:00,7590-VHVEG,0.6468549966812134,1,0.5,v1,,,,,,,,,,,,
2026-03-16T18:47:31.368690+00:00,5575-GNVDE,0.04460417106747627,0,0.5,v1,,,,,,,,,,,,
2026-03-16T18:47:31.368690+00:00,3668-QPYBK,0.581640899181366,1,0.5,v1,,,,,,,,,,,,
2026-03-16T18:47:31.368690+00:00,7795-CFOCW,0.029891105368733406,0,0.5,v1,,,,,,,,,,,,
2026-03-16T18:47:31.368690+00:00,9237-HQITU,0.6247490048408508,1,0.5,v1,,,,,,,,,,,,
2026-03-16T18:47:31.368690+00:00,9305-CDSKC,0.9095801115036011,1,0.5,v1,,,,,,,,,,,,
2026-03-16T18:47:31.368690+00:00,1452-KIOVK,0.38242602348327637,0,0.5,v1,,,,,,,,,,,,
2026-03-16T18:47:31.368690+00:00,6713-OKOMC,0.23362305760383606,0,0.5,v1,,,,,,,,,,,,
2026-03-16T18:47:31.368690+00:00,7892-POOKP,0.5979362726211548,1,0.5,v1,,,,,,,,,,,,
2026-03-16T18:47:31.368690+00:00,6388-TABGU,0.03599707782268524,0,0.5,v1,,,,,,,,,,,,
2026-03-16T18:47:31.368690+00:00,9763-GRSKD,0.17651864886283875,0,0.5,v1,,,,,,,,,,,,
2026-03-16T18:47:31.368690+00:00,7469-LKBCI,0.0037753419019281864,0,0.5,v1,,,,,,,,,,,,
2026-03-16T18:47:31.368690+00:00,8091-TTVAX,0.14223141968250275,0,0.5,v1,,,,,,,,,,,,
2026-03-16T18:47:31.368690+00:00,0280-XJGEX,0.46533268690109253,0,0.5,v1,,,,,,,,,,,,
2026-03-16T18:47:31.368690+00:00,5129-JLPIS,0.7672944664955139,1,0.5,v1,,,,,,,,,,,,
2026-03-16T18:47:31.368690+00:00,3655-SNQYZ,0.03275598958134651,0,0.5,v1,,,,,,,,,,,,
2026-03-16T18:47:31.368690+00:00,8191-XWSZG,0.010677491314709187,0,0.5,v1,,,,,,,,,,,,
2026-03-16T18:47:31.368690+00:00,9959-WOFKT,0.04204672947525978,0,0.5,v1,,,,,,,,,,,,
2026-03-16T18:47:31.368690+00:00,4190-MFLUW,0.2069769948720932,0,0.5,v1,,,,,,,,,,,,
